id,nombre,GBA (m2),Niveles,descripción,ubicacion,tipologia,Tipo de Espacios,Vegetacion,Capacidad,Certificación,Altura (m),NSA (m2),FSR / CUS,Estacionamiento (Cajones),Costo Aproximado (USD)
P41,Barrio Santa Lucía,"13,500 m2",16,"Desarrollo vertical de usos mixtos: comercio, vivienda, oficinas y hotel.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","95 Departamentos, 330 Residentes, 210 Visitantes/Día",Potencial LEED,60.8 m,"11,475 m2",6,337,"$15,882,352.94 USD"
P40,Aulas X,"3,017 m2",3,Edificio de aulas universitarias diseñado para educación superior y desarrollo académico avanzado.,"Monterrey, N.L., México",Educación,"Áreas de estudio, Auditorio, Aulas académicas, Cubículos, Laboratorios especializados, Sanitarios","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.",862 alumnos,Potencial LEED,11.4 m,"2,564 m2",3.5,75,"$3,549,411.76 USD"
P39,Zonna,"4,091 m2",7,Desarrollo vertical de lujo frente al mar con usos mixtos.,"Cancún, Q.Roo, México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Cowork/oficinas, Departamentos (vivienda), Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","28 Departamentos, 100 Residentes, 63 Visitantes/Día",Potencial LEED,26.6 m,"3,477 m2",3.5,102,"$6,738,117.65 USD"
P38,Makmul,"58,000 m2",150 Casas (2-3 niveles) y 2 Torres (20 niveles),Conjunto residencial de dos torres con amenidades y áreas verdes.,"Cancún, Q.Roo, México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","150 Casas, 280 Departamentos, 1,500 Residentes, 900 Visitantes/Día",-,11.4 m,"49,300 m2",3.5,"1,450","$68,235,294.12 USD"
P37,Aeropuerto Norman Manley,0,1,Infraestructura aeroportuaria internacional (Confidencial).,"Kingston, Jamaica",Infraestructura,"Pistas, Terminal, Zonas operativas",-,0,0,0,0,0,0,0
P36,Residencias TEC,"1,480 m2",5,Vivienda estudiantil accesible conectada a servicios y educación.,"Puebla, Pue., México",Vivienda,"Dormitorios, Oficinas, Sanitarios, Áreas generales","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",12 Familias,-,19.0 m,"1,258 m2",3.5,37,"$1,741,176.47 USD"
P35,Naomi,"3,028 m2",6,"Desarrollo vertical mixto integrando comercio, vivienda y oficinas.","Cancún, Q.Roo, México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Palmeras, Ceiba, Mangle, Flora Tropical. Int: Orquídeas, Monstera, Palmas de salón.","21 Deptos, 74 Residentes, 47 Visitantes/Día ",-,22.8 m,"2,574 m2",3.5,75,"$4,987,294.12 USD"
P34,Carretera San Miguel,30 km,1,Pavimentación carretera de 30 km con tecnología de concreto avanzada.,"San Miguel, GTO, México",Infraestructura,"Acotamientos, Carriles de rodamiento, Drenaje pluvial, Señalización vial",-,"25,000 Vehículos/Día",-,-,-,-,-,"$88,235,294.12 USD"
P33,Medline,"3,359 m2",1,Pavimentación industrial de alta especificación.,"Nuevo Laredo, Tamps., México",Infraestructura,"Guarniciones, Juntas de construcción, Superficie de rodamiento industrial",-,-,-,-,-,-,-,"$493,970.59 USD"
P32,Mediterráneo,"18,562 m2",22,"Complejo de usos mixtos con vivienda, hotelería y comercio.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","130 Departamentos, 453 Residentes, 288 Visitantes/Día",-,83.6 m,"1,230 m2",6,36,"$30,572,705.88 USD"
P31,Corporativo CEMEX,"2,522 m2",4,Sede corporativa de alto nivel.,"CDMX, México",Corporativo,"Cafetería, Coffee stations, Estacionamiento, Lobby, Núcleos de servicios, Oficinas de planta abierta, Oficinas privadas, Rest room, Salas de capacitación, Salas de juntas, Sanitarios, Site de sistemas (IT)",-,50 Usuarios/Día,-,15.2 m,"2,144 m2",3.5,63,"$4,153,882.35 USD"
P30,Grazia,"4,305 m2",4,"Torre de usos mixtos: comercio, vivienda y oficinas.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","0 Deptos, 105 Residentes, 66 Visitantes/Día",-,15.2 m,"3,659 m2",3.5,107,"$7,090,588.24 USD"
P29,Akasia,"3,679 m2",4,"Desarrollo vertical mixto: comercio, vivienda y oficinas.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","25 Deptos, 89 Residentes, 57 Visitantes/Día",-,15.2 m,"3,127 m2",3.5,91,"$6,059,529.41 USD"
P28,Aeropuerto Int. Cancún,Confidencial,Confidencial,Infraestructura aeroportuaria (Confidencial).,"Cancún, Q.Roo, México",Infraestructura,"Pistas, Terminal, Zonas operativas",-,-,-,-,-,-,-,Confidencial
P27,Tren Ligero,12 km,1,Sistema de trasnsporte inter-estatal con trenes de última generación. ,"Campeche, Camp., México",Infraestructura,"Estaciones (12), Superficie de rodamiento, Talleres",-,"25,000 Vehículos/Día",-,-,-,-,-,"$120,000,000.00 USD"
P26,Tawra,"11,800 m2",15,"Desarrollo vertical de usos mixtos: comercio, vivienda, oficinas y hotel.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","83 Deptos, 288 Residentes, 183 Visitantes/Día",Potencial LEED,57.0 m,"10,030 m2",3.5,295,"$13,882,352.94 USD"
P25,Puentes Periféricos,150 m,1,Rehabilitación de puentes estratégicos sobre río para conectividad urbana.,"Edo. Méx., México",Infraestructura,"Cimentación profunda, Iluminación, Superestructura",-,-,-,-,-,-,-,"$5,989,176.47 USD"
P24,Confidencial,Confidencial,Confidencial,Proyecto de infraestructura de seguridad nacional,Confidencial,Confidencial,Confidencial,Confidencial,-,-,-,-,-,-,Confidencial
P23,Confidencial,Confidencial,Confidencial,Proyecto de infraestructura de seguridad nacional,Confidencial,Confidencial,Confidencial,Confidencial,-,-,-,-,-,-,Confidencial
P22,Metrobús Línea 3,23 km,1,Sistema de transporte masivo de última generación para movilidad urbana.,"CDMX, México",Infraestructura,"Estaciones, Superficie de rodamiento, Talleres","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",-,-,3.8 m,20 m2,3.5,-,$0.00 USD
P21,Belgica,"4,887 m2",14,Edificio residencial con áreas verdes y conectividad urbana.,"Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","34 Deptos, 119 Residentes, 76 Visitantes/Día",-,53.2 m,"4,154 m2",3.5,122,"$8,049,176.47 USD"
P20,Salón Hernández,160 m2,1,Salón de eventos personalizado para celebraciones sociales.,"Orizaba, Ver., México",Comercial,"Bodega de mobiliario, Cocina de preparación, Foyer, Sanitarios, Área de eventos","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",-,-,3.8 m,136 m2,3.5,4,"$263,529.41 USD"
P19,Hospital General de Zona,"75,000 m2",7 edif. de 3 niv.,Hospital General de Zona de alta especialidad.,"Tula, Hgo., México",Salud,"Consultorios, Hospitalización, Laboratorios, Quirófanos, Urgencias","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",250 Camas / 800 Pacientes/Día,Potencial LEED,26.6 m,"63,750 m2",3.5,"1,875","$88,235,294.12 USD"
P18,Unidad de Medicina Familiar,"4,749 m2",1 de dobe altura,Unidad de Medicina Familiar para atención médica regional.,"Tula, Hgo., México",Salud,"Consultorios, Hospitalización, Laboratorios, Quirófanos, Urgencias","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",10 Consultorios / 450 Pacientes/Día ,-,3.8 m,"4,037 m2",3.5,118,"$5,587,058.82 USD"
P17,Esplendor II,"1,941 m2",3,Conjunto de vivienda media con áreas verdes y recreativas.,"Nacajuca, Tab., México",Vivienda,"Baños, Cocina, Comedor, Cuarto de lavado, Estacionamiento, Estancia, Recámaras, Vestidores","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",16 Familias,-,11.4 m,"1,650 m2",3.5,48,"$2,283,529.41 USD"
P16,Distrito República,"3,443 m2",20,"Desarrollo vertical de usos mixtos: comercio, oficinas, vivienda y hotel.","Guadalajara, Jal., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.","24 Deptos, 84 Residentes, 53 Visitantes/Día",-,76.0 m,"2,927 m2",6,86,"$5,670,823.53 USD"
P15,Casa Cerro Abanico,400 m2,2,Residencia de lujo en zona sísmica con acabados premium.,"CDMX, México",Vivienda,"Baños, Cochera, Cocina, Comedor, Cuarto de lavado, Jardín, Recámaras, Sala, Vestidores","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",3 Familias,-,7.6 m,340 m2,3.5,10,"$470,588.24 USD"
P14,Barrio W,"4,428 m2",20,"Desarrollo vertical de usos mixtos: comercio, oficinas, vivienda y hotel.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.",88 Usuarios/Día,Potencial LEED,76.0 m,"3,764 m2",6,110,"$7,293,176.47 USD"
P13,Aldaba,"1,861 m2",2,"Desarrollo vertical de usos mixtos: comercio, oficinas, vivienda y hotel.","León, Gto., México",Vivienda,"Baños, Cocina, Comedor, Cuarto de lavado, Estacionamiento, Estancia, Recámaras, Vestidores","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",15 Familias,-,7.6 m,"1,582 m2",3.5,46,"$2,189,411.76 USD"
P12,Silos,"3,142 m3",2 Silos (20m alt),Infraestructura de almacenamiento de granos para abastecimiento regional.,"Cd, Juárez, México",Industrial,"Bandas transportadoras, Cimentación industrial pesada, Cuerpos de silos, Sistemas de carga y descarga, Tolvas de recepción",-,"3,770 Toneladas Cap.",-,7.6 m,"2,671 m2",3.5,78,"$2,772,352.94 USD"
P11,Salina Cruz,"2,240 m2",60 casas de 1 nivel,"Desarrollo integral: vivienda, infraestructura hidráulica y eléctrica.","Salina Cruz, Oax., México",Vivienda,"Baños, Cocina, Comedor, Cuarto de lavado, Estacionamiento, Estancia, Recámaras, Vestidores","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",18 Familias,-,228.0 m,"1,904 m2",8,56,"$2,635,294.12 USD"
P10,Puentes Libramiento,160 m,1,Puentes estratégicos sobre cauce fluvial para conectividad estatal.,"Edo. Méx., México",Infraestructura,"Cimentación profunda, Iluminación, Superestructura",-,-,-,-,-,-,-,"$1,764.71 USD"
P09,San Quintín,400 m2,1,Unidad de Medicina Familiar para atención médica regional.,"San Quintín, B.C., México",Infraestructura,"Consultorios, Hospitalización, Laboratorios, Quirófanos, Urgencias","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",-,-,3.8 m,340 m2,3.5,10,"$352,941.18 USD"
P08,Central de Mezclas,250 m2,1,Laboratorio especializado en medicamentos oncológicos y nutrición parenteral.,"CDMX, Guadalajara, Juárez, Tampico, Tijuana y Torreón",Salud,"Almacén, Antibióticos, Nutrición Parenteral, R.P.B.I.","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",15 personas,-,3.8 m,212 m2,3.5,6,"$3,294,117.65 USD"
P07,Módulo COVID,350m2,1,Infraestructura sanitaria modular de despliegue rápido para emergencia COVID-19.,"Agua Prieta, Cd. Juárez,, Cd. Obregón, Culiacán, Fresnillo, Mexicali, Monclova, Monterrey, Puebla, Querétaro, Saltillo, San José del Cabo, San Quintín, San Luis Potosí, Tlalnepantla, Tuxtla Gtz, Villahermosa y Zamora",Salud,"Consultorios, Hospitalización, Laboratorios, Quirófanos, Urgencias","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.",40 Camas,-,-,-,-,-,"$411,764.71 USD"
P06,Mall,"4,789 m2",3 de doble altura,Ampliación estructural de centro comercial.,"Nuevo Mexico, USA",Comercial,"Atrios centrales, Cines, Estacionamiento, Food court (Plaza de comidas), Locales comerciales, Pasillos de circulación, Sanitarios públicos, Tiendas ancla, Áreas de servicios","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",-,-,11.4 m,"4,071 m2",3.5,119,"$7,887,764.71 USD"
P05,Nave Industrial,"4,001 m2",1,Nave industrial logística para productos de importación.,"Phoenix, AZ, USA",Industrial,"Oficinas, Sanitarios, Áreas generales",-,"4,801 Toneladas Cap.",-,3.8 m,"3,401 m2",3.5,100,"$3,530,294.12 USD"
P04,Escuela Secundaria,"4,666 m2",3,Remodelación de infraestructura educativa con estructura metálica.,"Austin, TX, USA",Educación,"Oficinas, Sanitarios, Áreas generales","Ext: Jacarandas, Pinos, Encinos. Int: Cuna de Moisés, Palo de Brasil, Ficus.",-,-,11.4 m,"3,966 m2",3.5,116,"$5,489,411.76 USD"
P03,Torre KOI,"140,000 m2",64,"Torre de usos mixtos, referente vertical del continente en zona de prestigio.","Monterrey, N.L., México",Usos Mixtos,"Alberca, Bares (zonas de ocio), Comercio, Cowork/oficinas, Departamentos (vivienda), Estacionamiento, Food Court, Gimnasio, Hotel, Jardines, Lavandería, Ludoteca","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","985 Deptos, 3,422 Residentes, 2,177 Visitantes/Día",LEED Silver,279.5 m,"119,000 m2",8,"3,500","$117,647,058.82 USD"
P02,Patrimonio Hoy,-,0,Gestión de +400 proyectos de remodelación y diseño residencial (2017-2022).,"Monterrey, N.L., México",Vivienda,Varios,"Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.",-,-,-,-,-,-,$0.00 USD
P01,Estadio BBVA,"106,000 m2",5,"Estadio de última generación, sede de eventos internacionales.","Monterrey, N.L., México",Deportivo,"Cancha, Gradas, Palcos, Vestidores, Áreas Comerciales","Ext: Huizache, Mezquite, Anacahuita, Agaves. Int: Potos, Sansevieria, Helechos.","53,500 Espectadores",LEED Silver,19.0 m,"90,100 m2",3.5,"2,650","$235,294,117.65 USD"